set STU := Allen  Knorr	Black	Manheim	Chung	Morris	Clark	
Nathan	Conners	Neuman	Cumming	Patrick	Demming	Rollins	Eng	Schuman	
Farmer	Silver	Forest	Stein  Goodman	Stock	Harris	Truman	
Holmes	Wolman	Johnson	Young;

set PRO := A	ED	EZ	G	H1	H2	RB	SC;

param upper = 4;
param lower = 3;


param pref :

		A	ED	EZ	G	H1	H2	RB	SC :=
Allen	1	3	4	7	7	5	2	6
Knorr	7	4	1	2	2	5	6	3
Black	6	4	2	5	5	7	1	3
Manheim	4	7	2	1	1	3	6	5
Chung	6	2	3	1	1	7	5	4
Morris	7	5	4	6	6	3	1	2
Clark	7	6	1	2	2	3	5	4
Nathan	4	7	5	6	6	3	1	2
Conners	7	6	1	3	3	4	5	2
Neuman	7	5	4	6	6	3	1	2
Cumming	6	7	4	2	2	3	5	1
Patrick	1	7	5	4	4	2	3	6
Demming	2	5	4	6	6	1	3	7
Rollins	6	2	3	1	1	7	5	4
Eng		4	7	2	1	1	6	3	5
Schuman	4	7	3	5	5	1	2	6
Farmer	7	6	5	2	2	1	3	4
Silver	4	7	3	1	1	2	5	6
Forest	6	7	2	5	5	1	3	4
Stein	6	4	2	5	5	7	1	3
Goodman	7	6	2	4	4	5	1	3
Stock	5	2	1	6	6	7	4	3
Harris	4	7	5	3	3	1	2	6
Truman	6	3	2	7	7	5	1	4
Holmes	6	7	4	2	2	3	5	1
Wolman	6	7	4	2	2	3	5	1
Johnson	7	2	4	6	6	5	3	1
Young	1	3	4	7	7	6	2	5;

